month_year,chemical_name,iso,price_units,value_units,mass_units,mass_import,mass_export,mass_total,fraction_import,value_import,value_export,value_total,price_total,trade_balance,price_premium,price_transport,price_adjusted,year,month
2024-01,sodium_hydroxide,SWE,$/tonne,$,tonne,226.14040899999998,0.0,226.14040899999998,1.0,210298.71600000001,0.0,210298.71600000001,929.9475353827631,import,92.99475353827631,15.0,1037.9422889210396,2024,1
2024-01,sodium_hydroxide,TUR,$/tonne,$,tonne,4766.619,2426.057,7192.6759999999995,0.6627045344458724,2351819.0,1362707.0,3714526.0,516.4317147053475,balanced,51.64317147053475,15.0,583.0748861758823,2024,1
2024-01,sodium_hydroxide,USA,$/tonne,$,tonne,1406.58,2665.1992550000004,4071.7792550000004,0.34544603523699613,1322658.0,1780696.0,3103354.0,762.1616511232016,balanced,76.21616511232017,15.0,853.3778162355218,2024,1
2024-01,sodium_sulfate,CAN,$/tonne,$,tonne,11439.293118,10011.876,21451.169117999998,0.5332713128629021,12520327.348000001,3629168.0790000004,16149495.427000001,752.8491961516781,balanced,75.28491961516782,15.0,843.134115766846,2024,1
2024-01,sodium_sulfate,DEU,$/tonne,$,tonne,25747.174497,95835.24467,121582.419167,0.2117672495201372,9851737.211,20110230.555000003,29961967.766000003,246.4333903806078,balanced,24.64333903806078,15.0,286.07672941866855,2024,1
2024-01,sodium_sulfate,FRA,$/tonne,$,tonne,17425.106461000003,7753.050712,25178.157173000003,0.6920723522881951,10044561.830999998,2808834.8679999993,12853396.698999997,510.49791335735404,balanced,51.04979133573541,15.0,576.5477046930895,2024,1
2024-01,sodium_sulfate,GBR,$/tonne,$,tonne,19205.687918,862.958,20068.645918,0.956999689788438,5355628.976,811830.611,6167459.586999999,307.31817244671566,import,30.731817244671568,15.0,353.0499896913872,2024,1
2024-01,sodium_sulfate,IND,$/tonne,$,tonne,5835.563921000001,38669.687647,44505.251568,0.13112079396032145,3506390.736,10793721.099,14300111.834999999,321.3129087283266,balanced,32.13129087283266,15.0,368.44419960115926,2024,1
2024-01,sodium_sulfate,SWE,$/tonne,$,tonne,4817.138618,8811.462995999998,13628.601614,0.3534580255872758,2001413.6409999994,2148989.9939999995,4150403.634999999,304.53627984374356,balanced,30.453627984374357,15.0,349.9899078281179,2024,1
2024-01,sodium_sulfate,TUR,$/tonne,$,tonne,2753.212,27895.836000000003,30649.048000000003,0.08983026161204093,2727592.0,10389254.0,13116846.0,427.9691166916505,export,42.796911669165056,15.0,485.7660283608156,2024,1
2024-01,sodium_sulfate,USA,$/tonne,$,tonne,37006.04200000001,30715.687325,67721.72932500001,0.546442661297176,30124417.0,17952070.0,48076487.0,709.912276003445,balanced,70.9912276003445,15.0,795.9035036037894,2024,1
2024-01,sulfuric acid,CAN,$/tonne,$,tonne,6611.032999999999,159783.75,166394.783,0.03973101127816008,1148882.1919999996,22762588.685999993,23911470.87799999,143.70324866495358,export,14.37032486649536,15.0,173.07357353144894,2024,1
2024-01,sulfuric acid,DEU,$/tonne,$,tonne,32235.108045999998,139134.874349,171369.982395,0.18810241791178775,4028368.254999997,10444231.806999993,14472600.06199999,84.45236359213311,balanced,8.445236359213311,15.0,107.89759995134642,2024,1
2024-01,sulfuric acid,FRA,$/tonne,$,tonne,18502.422000000002,8252.389,26754.811,0.691554950621778,4182799.1629999992,1598643.9089999995,5781443.071999999,216.08984911162327,balanced,21.608984911162327,15.0,252.6988340227856,2024,1
2024-01,sulfuric acid,GBR,$/tonne,$,tonne,25321.729,1336.239,26657.968,0.9498746866227763,3781605.353999999,1207284.4320000005,4988889.785999999,187.14441348267803,import,18.714441348267805,15.0,220.85885483094583,2024,1
2024-01,sulfuric acid,IND,$/tonne,$,tonne,131342.514356,4607.173,135949.687356,0.9661111909148008,9241176.646999994,778047.804,10019224.450999994,73.69803230781615,import,7.369803230781615,15.0,96.06783553859776,2024,1
2024-01,sulfuric acid,SWE,$/tonne,$,tonne,732.783783,30294.0,31026.783783,0.023617780950969926,137911.88799999998,3117562.475999999,3255474.3639999987,104.92464790320027,export,10.492464790320028,15.0,130.4171126935203,2024,1
2024-01,sulfuric acid,TUR,$/tonne,$,tonne,61418.129,39000.6,100418.72899999999,0.6116202586073362,4023779.9999999963,1170018.9999999972,5193798.9999999935,51.721417426026115,balanced,5.172141742602612,15.0,71.89355916862871,2024,1
2024-01,sulfuric acid,USA,$/tonne,$,tonne,256093.0,11404.0,267497.0,0.957367746180331,33422941.999999993,2029508.9999999993,35452450.99999999,132.53401346557155,import,13.253401346557155,15.0,160.7874148121287,2024,1
2024-02,potassium chloride,CAN,$/tonne,$,tonne,1224.8229999999999,1842087.027,1843311.85,0.0006644686844496767,747460.883,502294072.9760001,503041533.8590001,272.9009385248622,export,27.290093852486223,15.0,315.19103237734845,2024,2
2024-02,potassium chloride,DEU,$/tonne,$,tonne,19849.264466,279177.966,299027.23046600004,0.06637945459036347,6181473.264999999,100863312.668,107044785.933,357.97671592042917,export,35.79767159204292,15.0,408.7743875124721,2024,2
2024-02,potassium chloride,FRA,$/tonne,$,tonne,49472.295,562.724,50035.019,0.988753396895882,17735952.915,317423.96599999996,18053376.880999997,360.814830129274,import,36.0814830129274,15.0,411.8963131422014,2024,2
2024-02,potassium chloride,GBR,$/tonne,$,tonne,48616.326,17024.613,65640.939,0.7406403189936086,21862203.124,3906737.1829999993,25768940.307,392.5742181567512,balanced,39.25742181567512,15.0,446.83163997242633,2024,2
